file,baseline_mean_ms,baseline_std_ms,baseline_n_samples,burst_floor_ms,total_windows,bursts_detected,detection_rate,avg_entropy,avg_max_z,max_max_z,avg_cusum,max_cusum
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu150000_stage1b_rep2.csv,34.28980165037384,20.42303297396354,3907,61.72164297067291,19,0,0.0,1.594,5.609,10.28,17.4,80.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu175000_stage1b_rep1.csv,33.91158459916703,20.62027263655012,3822,61.04085227850065,19,0,0.0,1.423,6.499,12.43,2352.8,18073.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu175000_stage1b_rep2.csv,34.202328043320456,20.531129788893868,3832,61.56419047797682,19,0,0.0,1.619,5.647,9.69,11.3,58.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu200000_stage1a_rep1.csv,33.84551736555095,20.653640889388566,3849,60.92193125799171,19,0,0.0,1.499,7.382,21.42,784.0,8718.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_mystery_rep1.csv,33.794554043391784,20.454227041542747,3781,60.83019727810521,19,0,0.0,1.562,7.352,17.86,2015.8,11843.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_mystery_rep2.csv,34.76046775278847,20.443284994887584,3859,62.56884195501925,19,0,0.0,1.447,7.444,14.49,231.0,2924.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_mystery_rep3.csv,34.36975593563722,20.330620455281323,3853,61.865560684147,19,0,0.0,1.469,7.349,16.77,2014.5,17500.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_stage1a_rep1.csv,34.352566220101195,20.931572987795704,3780,61.83461919618215,19,0,0.0,1.39,7.775,23.24,7014.3,47363.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu400000_stage1a_rep1.csv,34.001433910621635,20.586162986267656,3826,61.20258103911895,19,0,0.0,1.453,7.778,20.29,1756.8,16213.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu500000_stage1a_rep1.csv,34.907060886956565,20.738961800056618,3769,62.832709596521816,19,0,0.0,1.115,11.146,48.17,23232.7,113088.0
experiment_results/wedos_grid/rtt_log_S3_atk5pct_wu200000_stage1a_rep1.csv,35.09931942202415,20.34617913203335,3957,63.17877495964348,19,0,0.0,1.873,6.173,19.85,19198.0,85093.0
experiment_results/wedos_grid/rtt_log_S3_atk5pct_wu300000_stage1a_rep1.csv,34.46988831519567,22.609005341857245,3801,62.045798967352205,18,5,0.278,1.35,8.815,33.98,1200653.1,1418986.0
experiment_results/wedos_grid/rtt_log_S3_atk5pct_wu400000_stage1a_rep1.csv,34.71828751389038,20.899521412703287,3884,62.49291752500269,19,7,0.368,1.497,9.508,61.91,1608762.7,2054481.0
experiment_results/wedos_grid/rtt_log_S3_atk5pct_wu500000_stage1a_rep1.csv,44.51545726941106,117.178795025212,3823,80.1278230849399,19,13,0.684,1.538,5.53,12.3,1855807.5,2523414.0
experiment_results/wedos_grid/rtt_log_S4_atk10pct_wu200000_stage1a_rep1.csv,39.99795091108007,21.64704502330461,5240,71.99631163994412,19,2,0.105,1.59,11.537,96.35,531106.7,692792.0
experiment_results/wedos_grid/rtt_log_S4_atk10pct_wu300000_stage1a_rep1.csv,39.81043315803814,21.310985896390243,5373,71.65877968446866,16,15,0.938,2.444,9.749,101.89,1741162.2,2379481.0
experiment_results/wedos_grid/rtt_log_S4_atk10pct_wu400000_stage1a_rep1.csv,44.06535622716997,118.09733464047446,2725,79.31764120890595,18,9,0.5,1.546,6.337,25.47,503807.6,1581606.0
experiment_results/wedos_grid/rtt_log_S4_atk10pct_wu500000_stage1a_rep1.csv,41.43852813277214,29.619593171001107,5099,74.58935063898986,19,18,0.947,1.408,8.073,65.32,1689613.0,2274639.0
experiment_results/wedos_grid/rtt_log_S4_atk1pct_wu200000_stage1a_rep1.csv,43.89756499728685,90.19128154071169,4043,79.01561699511633,19,0,0.0,1.858,4.706,9.68,0.2,2.0
experiment_results/wedos_grid/rtt_log_S4_atk1pct_wu300000_stage1a_rep1.csv,40.57579327492991,21.62933940828858,5423,73.03642789487384,19,0,0.0,1.492,8.487,32.08,1181.5,10769.0
experiment_results/wedos_grid/rtt_log_S4_atk1pct_wu400000_stage1a_rep1.csv,39.12995421994651,19.963705940110028,5456,70.43391759590372,19,0,0.0,1.282,14.173,90.65,11485.2,59543.0
experiment_results/wedos_grid/rtt_log_S4_atk1pct_wu500000_stage1a_rep1.csv,38.560937601343575,20.06518846876283,5408,69.40968768241844,19,0,0.0,1.03,15.422,97.18,20832.3,96817.0
experiment_results/wedos_grid/rtt_log_S4_atk5pct_wu200000_stage1a_rep1.csv,39.076444982027084,20.633987352257083,5335,70.33760096764875,19,0,0.0,1.596,9.056,51.56,80366.1,152032.0
experiment_results/wedos_grid/rtt_log_S4_atk5pct_wu300000_stage1a_rep1.csv,39.12068451611939,19.869348202649483,5371,70.4172321290149,19,6,0.316,1.78,7.723,36.53,1290325.4,1914592.0
experiment_results/wedos_grid/rtt_log_S4_atk5pct_wu400000_stage1a_rep1.csv,38.4495941132608,19.912149103218294,5492,69.20926940386944,19,2,0.105,1.052,13.564,88.53,497861.2,741639.0
experiment_results/wedos_grid/rtt_log_S4_atk5pct_wu500000_stage1a_rep1.csv,38.84395425286922,19.994821237057547,5406,69.9191176551646,19,8,0.421,1.047,11.513,82.29,952927.4,1370889.0
